id,address,travel_duration_text,travel_duration_seconds,google_maps_url
2020198189,"1 Tallowwood Avenue, Lugarno NSW 2210",1 hour 9 mins,4110,https://www.google.com/maps/dir/?api=1&origin=1+Tallowwood+Avenue%2C+Lugarno+NSW+2210&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020207611,"2A Desmond Street, Eastwood NSW 2122",1 hour 10 mins,4204,https://www.google.com/maps/dir/?api=1&origin=2A+Desmond+Street%2C+Eastwood+NSW+2122&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020209597,"111 Carlingford Road, Epping NSW 2121",1 hour 12 mins,4310,https://www.google.com/maps/dir/?api=1&origin=111+Carlingford+Road%2C+Epping+NSW+2121&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020210527,"28 Tristram Street, Ermington NSW 2115",1 hour 14 mins,4457,https://www.google.com/maps/dir/?api=1&origin=28+Tristram+Street%2C+Ermington+NSW+2115&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020218774,Tempe NSW 2044,38 mins,2282,https://www.google.com/maps/dir/?api=1&origin=Tempe+NSW+2044&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020221582,"30 Vignes Street, Ermington NSW 2115",1 hour 20 mins,4787,https://www.google.com/maps/dir/?api=1&origin=30+Vignes+Street%2C+Ermington+NSW+2115&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020241719,"164 Slade Road, Bardwell Park NSW 2207",49 mins,2966,https://www.google.com/maps/dir/?api=1&origin=164+Slade+Road%2C+Bardwell+Park+NSW+2207&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020257032,"5 Delaware Road, Ermington NSW 2115",1 hour 15 mins,4521,https://www.google.com/maps/dir/?api=1&origin=5+Delaware+Road%2C+Ermington+NSW+2115&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020257620,"21A Wesley Street, Telopea NSW 2117",1 hour 27 mins,5204,https://www.google.com/maps/dir/?api=1&origin=21A+Wesley+Street%2C+Telopea+NSW+2117&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020274650,"27 Arcadian Circuit, Carlingford NSW 2118",1 hour 21 mins,4881,https://www.google.com/maps/dir/?api=1&origin=27+Arcadian+Circuit%2C+Carlingford+NSW+2118&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020278874,Punchbowl NSW 2196,1 hour 13 mins,4371,https://www.google.com/maps/dir/?api=1&origin=Punchbowl+NSW+2196&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020281574,"17 Terry Street, Blakehurst NSW 2221",56 mins,3335,https://www.google.com/maps/dir/?api=1&origin=17+Terry+Street%2C+Blakehurst+NSW+2221&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020283975,"62 Northcote Road, Greenacre NSW 2190",1 hour 12 mins,4297,https://www.google.com/maps/dir/?api=1&origin=62+Northcote+Road%2C+Greenacre+NSW+2190&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020285354,"3 Gore Street, Arncliffe NSW 2205",36 mins,2187,https://www.google.com/maps/dir/?api=1&origin=3+Gore+Street%2C+Arncliffe+NSW+2205&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020300564,"843 Punchbowl Rd, Punchbowl NSW 2196",1 hour 10 mins,4187,https://www.google.com/maps/dir/?api=1&origin=843+Punchbowl+Rd%2C+Punchbowl+NSW+2196&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
